Model,Camera,Rom,Descrip,Brand,Ram,Price,Size
Galaxy J5 , 13MP Camera , 16GB ROM ,Galaxy J5 - J510F - 16GB ROM - 2GB RAM - 13MP Camera - Android - Gold - 4G LTE,Samsung , 2GB RAM ," 20,999",
Galaxy J7 Prime ,, 16GB ,Galaxy J7 Prime - 16GB - Black,Samsung ,," 26,999",
Galaxy J7 Prime ,, 16GB ,Galaxy J7 Prime - 16GB - Golden,Samsung ,," 26,999",
Galaxy J1 Mini Prime ,, 8GB ,Galaxy J1 Mini Prime - 8GB - White,Samsung ,," 9,569",
Galaxy J2 , 5MP , 8GB ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5MP - Gold",Samsung , 1GB RAM ," 13,999"," 4.7"" "
"Fast Charger With USB Cable Travel Adapter for S8, S8 Plus ",,,"Fast Charger With USB Cable Travel Adapter for S8, S8 Plus - White",Samsung ,," 1,009",
Galaxy J700H , 13MP , 16GB ,"Galaxy J700H - 5.5"" - 16GB - 1.5GB RAM - 13MP - White",Samsung , 1.5GB RAM ," 20,999"," 5.5"" "
Galaxy J2 , 5 MP , 8GB ,"Galaxy J2 - 4.7"" - 8GB - 1GB RAM - 5 MP - White",Samsung , 1GB RAM ," 16,500"," 4.7"" "
Galaxy S7 Edge , 12MP , 32GB ,"Galaxy S7 Edge - 5.5"" - 32GB - 4GB RAM - 12MP - Gold Platinum - 4G LTE",Samsung , 4GB RAM ," 65,000"," 5.5"" "
Galaxy J5 Prime , 13 MP , 16 GB ,"Galaxy J5 Prime - 5.0"" - 2 GB - 16 GB - 13 MP - Gold",Samsung , 2 GB ," 22,999"," 5.0"" "
Galaxy Grand Prime Plus , 8MP Camera , 8GB ,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Black",Samsung , 1.5GB RAM ," 14,295"," 5.0"" "
T285 , 5MP , 8GB ,"T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G",Samsung , 1.5GB RAM ," 18,500"," 7"" "
