Store Name,Ownership Type,Address Line 1,Address Line 2,City,Province/State,Postal Code,Latitude,Longitude
KFC RBD Park Street,Franchisee,"20 K, Park street",,Kolkata,West Bengal,700016,22.5530955,88.3527026
KFC RBD New Empire,Franchisee,Humayun Place,"New Empire Cinema Building,",Kolkata,West Bengal,700087,22.560549,88.351772
KFC Kolkata Airport,Franchisee,NSCBI  AIRPORT KOLKATA,INTERNATIONAL  AIRPORT,KOLKATA,West Bengal,700052,22.643876,88.440096
KFC Hindustan Park Gariahat,Franchisee,"26 A Hindustan Park, Gariahat","Near Reliance Digital, Near 4 no Crossing of Gariahat",Kolkata,West Bengal,700019,22.518714,88.365417
KFC Barasat Kolkata,Franchisee,"KFC Restaurant, 8 Jessore Road","North 24 Parganas, Dist - Barasat",Kolkata,West Bengal,700124,22.719679,88.487831
KFC Kolkata Airport,Franchisee,NSCBI  AIRPORT KOLKATA,INTERNATIONAL  AIRPORT,KOLKATA,West Bengal,700052,22.652043,88.44633
KFC Kollam,Company,KFC RESTAURANT,"NOVAR PLAZA, VADAKKEVILA ( P O), POLAYATHODE",Kollam,Kerala,681001,8.8787129,76.6082963
KFC Kottayam,Company,Manjooran Tower KK Rd,Kanjikuzhy,Kottayam,Kerala,686004,9.5881529,76.5399373
"KFC City Mall , Lucknow",Franchisee,"CP-2, City Mall,","Vipul Khand - 4, Gomti Nagar,",Lucknow,U P,226010,26.8462369,80.9874394
KFC Phoenix Food Court  Lucknow,Franchisee,Phoenix Food court  Lucknow Food Court Floor,"LDA Colony, Alam Bagh,",Lucknow,U P,226005,26.7988682,80.894233
KFC Fun Republic Food Court Lucknow,Franchisee,"Restaurant No.03,Food Court Area. Fun Republic Mall","Lohia Path,Gomtinagar",Lucknow,U P,226010,26.8458965,80.9874609
KFC RBD Eldee Mall,Franchisee,"KFC  Ground floor,  Plot No. 5/CT 105,","Shalimar Eldee Plaza, Bhootnath Market , Indra Nagar",Lucknow,U P,226005,26.8728381,80.98277
KFC RBD Lucknow,Franchisee,"Shop Mo 3,4,5 Saharaganj Mall. Shahjanaf Road, Lucknow",,Lucknow,U P,226001,26.8553204,80.9461818
KFC Silver Arc Mall,Franchisee,"Shop no TF04, 3rd Flr, Food court,","SilverArc Mall,",Ludhiana,Punjab,141001,30.9004322,75.8293012
KFC JMD Ludhiana,Franchisee,"JMD  Govardhan City Centre, Opp Laxmi cinema,","G.T.Road; near Railway Station,",Ludhiana,Punjab,141008,30.9110727,75.8514872
KFC GK County,Franchisee,"KFC Restaurant,   G.K County,","GK - S.C.O 3 , 4 , & 5 ,G.K. County Chandhigarh - Ludhiana Highway, Ludhiana",Ludhiana,Punjab,141015,30.8683515,75.821464
KFC RBD Ansal Ludhiana,Franchisee,Ansal Plaza Mall,Firozpur Road,Ludhiana,Punjab,141001,30.897707,75.9721224
KFC RBD West End Mall,Franchisee,"Shop No 13 & 14 ,West End Mall,Ferozpur Road",,Ludhiana,Punjab,141001,30.8856311,75.7881972
KFC Madurai,Franchisee,# 61/4B By Pass Rd,,Madurai,Tamil Nadu,625 010,9.9169951,78.0943254
KFC Mangalore,Company,"KFC Restaurant, City Centre mall","UG 24,K.S Rao Road, Hampankatta",Mangalore,Karnataka,575001,12.8712632,74.8435475
KFC RBD Kadri Mall,Company,"Times Sqaure Mall, Near ShivBhag",Kadri Junction,Mangalore,Karnataka,575002,12.878589,74.856681
KFC RBD Manipal,Company,"Shop no.1, Shiroor tower,",Udipi mian road,Manipal,Karnataka,576102,13.3487949,74.7819541
"KFC Shopprix Mall, Meerut",Franchisee,"Shopprix Mall, Major Dhyan Chand Nagar, Hapur Bypass,","Delhi Road, Near Sanjay Van, Sports Goods Complex",Meerut,U P,250001,28.9476532,77.6754448
KFC Mohali,Franchisee,"Gr Flr,Phase -3B2,",SAS Nagar,Mohali,Punjab,160059,30.710197,76.720871
KFC NCM Mohali,Franchisee,"KFC Restaurant, , Kiosk no 16,17 & 18;","the food court,  Entertainment floor,  North Country Mall,  NH-21,  Mohali",Mohali,Punjab,160118,30.7363766,76.6783154
KFC RBD K Stars Mall,Franchisee,"Unit # 7 / 11,12,13 & 14, Food Court ,Third Floor","Near Diamond Garden Circle Sion Trombay Road , Chembur",Mumbai,Maharashtra,400071,19.0523006,72.9016543
KFC RBD Linking Road,Franchisee,Linking Rd Nr National College,Bandra (W),Mumbai,Maharashtra,400050,19.0655416,72.8341168
"KFC Phoenix Market City, Mumbai",Franchisee,"Phoenix Market City,S-20, 2nd Floor-Food Court Level,","L.B.S. Marg, Kurla(West)",Mumbai,Maharashtra,400070,19.0864096,72.8902619
KFC RBD Powai,Franchisee,KFC,Powai Hiranandani Complex,Mumbai,Maharashtra,400072,19.1185712,72.9113962
KFC R City Mall FC,Franchisee,"3rd Floor  R-City Mall, Food Court,","LBS Road, Ghatkopar East",Mumbai,Maharashtra,400077,19.0996921,72.9163115
KFC RBD Malad,Franchisee,"Unit no. 17&18, 2nd Floor, Food court,","Inorbit Mall Malad Link Road, Malad (W)",Mumbai,Maharashtra,400064,19.1733183,72.836248
KFC Orion Mall,Franchisee,"Shop no. K-01 & 2, KFC Restaurant, Second floor, Food court","Orion Mall, Plot no. 311, Mumbai Pune Highway, Panvel",Mumbai,Maharashtra,410206,18.9931721,73.1155841
KFC RBD Nerul,Franchisee,Opp D Y Patil Stadium,"Nerul East, Navi Mumbai",Mumbai,Maharashtra,400706,19.0459617,73.0241644
KFC RBD Vashi Inorbit,Franchisee,"Inorbit Mall, ground floor, Near BSEL Tech Park",Vashi Navi Mumbai,Mumbai,Maharashtra,400705,19.0658305,73.0006013
KFC RBD Glomax Mall,Franchisee,"Plot 17, 18, 19 Shop no G 12,13,14,21,22,23 & 24 Gr Flr Glomax Mall","Sec 2, Kharghar Railway station Road,Kharghar Navi Mumbai",Mumbai,Maharashtra,410210,19.0304636,73.0657304
KFC Mumbai Domestic Airport,Franchisee,"Terminal 1 A,1 C Food court",Domestic Airport - Mumbai,Mumbai,Maharashtra,,19.0940191,72.8551624
KFC International Airport 2 Departure Mumbai,Franchisee,T2 International Airport Departure Terminal,Andheri (E),Mumbai,Maharashtra,,19.092962,72.849717
KFC Mumbai Airport,Franchisee,"W5 -3028, LEVEL-3 DOMESTIC FOOD COURT ,",TERMINAL - 2 Mumbai Airport. Mumbai,Mumbai,Maharashtra,400059,19.0961264,72.875317
KFC Korum Mall,Franchisee,"KFC Restaurant, Korum Mall","Unit R4, Korum Mall Foodcourt,3 rd floor, Off Eastern Express Highway Next to Cadbury's ,Thane west.",Mumbai,Maharashtra,400606,19.2035083,72.9646955
KFC Viviana Mall,Franchisee,"Viviana Mall, Unit No. FC 11, 2nd floor","Opposite Eastern Express Highway, Next to Jupitor Hospital, Panchpakhadi, Thane.",Mumbai,Maharashtra,400606,19.2086746,72.9715242
KFC RBD Spice Court,Franchisee,"Shop No:-1,2,3, Sheetal Classic corner, Sai Karishma CHS",Mira-Bhayendar Highway,Mumbai,Maharashtra,415517,19.282945,72.8657866
"KFC Infinity Mall, Mumbai",Franchisee,"Infinity Mall,Shop NO. TF-328,3rd Floor-Food Court,","Link Road, Malad(West),",Mumbai,Maharashtra,400064,19.1849222,72.8340406
KFC RBD Oberoi Mall,Franchisee,Oberoi Mall 3 Flr,Nr Western Express Highway Goregaon (E),Mumbai,Maharashtra,400063,19.1734401,72.8600555
