Store Name,Ownership Type,Address Line 1,Address Line 2,City,Province/State,Postal Code,Latitude,Longitude
KFC QRS Mall,Company,Door No: 001 QRS Mall Square,"Opposite Raymond Showroom MG Road,",Thiruvananthapuram,Kerala,695001,8.4932402,76.9473455
KFC Tirupathi,Company,"Survey no;- 3181,3184, Door no ;- 10-14/575/A4,","Beside Bank of board ( Near municipal office junction), VV Mahal road,",Tirupati,Andra Pradesh,517501,13.6370983,79.422057
KFC Tuticorin,Franchisee,"# 53, Velavan Hyper Market",Gin Factory Road,Toothikudi,Tamil Nadu,628002,8.8036258,78.1438704
KFC Trissur,Company,Selex East Mall,East Fort,Trichur,Kerala,680005,10.5228791,76.2247872
KFC Trichy,Franchisee,"# 6, Bharathiyar Salai",Cantonment,Trichy,Tamil Nadu,620001,10.7987919,78.6864759
KFC Udaipur,Franchisee,"Shops No. 13 & 14,Ground Floor,The Lakecity Mall,","Plot No. 1, Ashok Nagar, Main Road,",Udaipur,Rajasthan,313001,24.5862792,73.7103386
KFC RBD Vadodara Central,Franchisee,Gr Flr Central Mall Genda Circle,Wadi Wadi Rd,Vadodara,Gujarat,390007,22.3172607,73.1697974
KFC EVA THE MALL,Franchisee,"F-10 , 3rd Road , Eva The Mall","Patidar crossing , near saraswati complex , manjalpur",Vadodara,Gujarat,390011,22.273147,73.18907
KFC Karjan Highway,Franchisee,"KFC Karjan Highway , Bharthana, Nr. Karjan Toll Naka","N.H.No.8, Karjan, Vadodara",Vadodara,Gujarat,391244,22.055216,73.117257
KFC PVP Mall,Company,"KFC,3rd Floor, PVP Square","D.NO:39-1-57,Mogalrajpuram, M.G.Road",Vijayawada,Andra Pradesh,520010,16.5021061,80.6424476
KFC RBD Vijayawada,Company,"Upper Ground Floor, K K Tower, D. No. 42-1-52D & 52E","Acheraya Ranga Nagar, MG Road,",Vijayawada,Andra Pradesh,,16.4990251,80.6517887
"KFC Railway Station, Vijayawada",Franchisee,"KFC Restaurant,  Railway station","C/O Raildhaba,Plat form no.1",Vijayawada,Andra Pradesh,522201,16.54491,80.63351
KFC Vikravandi DT,Franchisee,"Plot No 57,58,59,60,61 & 62,Sri Karpaga Vinayagar Nagar, Sathanur Village","Vikravandi Taluk,Villipuram District, Chennai-Trichy Highway,GST Road",Villipuram,Tamil Nadu,605602,12.023255,79.536375
KFC Chitralaya,Company,Situated in NTS No 1678,Blk No 47 Alipuram Suryabagh,Visakhapatnam,Andra Pradesh,530020,17.712472,83.301199
KFC RBD Asilmetta,Company,Door no: 8-1-20/A Vinayagar Vajjhala Square,"Opposite to RTC Complex, GVMC line , Aselmetta, Junction",Visakhapatnam,Andra Pradesh,530003,17.7262172,83.3154703
KFC RBD CMR,Company,"KFC - CENTRAL MALL, Shop no: 1 & 2","Ground Floor, Maddlipalem",Visakhapatnam,Andra Pradesh,530013,17.7340488,83.3184896
KFC Warangal,Company,"Ground Floor, H.No:1-7-762, 1-7-763 and 1-7-764 , Block No.7, Ward No.1,","Beside DEO Office,  Adalath, Hanamkonda",Warangal,Telangana,506002,17.9960487,79.5508955
KFC ZirakPur Drive Thru,Franchisee,"Dhillon Silicon Square, Chandigarh-Ambala road, National Highway","Village- Singhpura,",Zirakpur,Punjab,140603,30.62473,76.824769
KFC Haldwani,Franchisee,,,,,,29.2420825,79.535107
Rohini 2,Franchisee,,,,,,28.7148646,77.1160921
KFC Sobha City Thrissur,,,,,,,10.550306,76.183407
