URL,title,location,datetime
https://newyork.craigslist.org/wch/egr/d/lead-hvac-mechanic-needed/6630041108.html,Lead HVAC Mechanic Needed,Rye.,2018-06-29 09:54
https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6629985856.html,Freelance MEP Engineer,Midtown,2018-06-29 08:37
https://newyork.craigslist.org/brk/egr/d/auto-cad-drafter-detailer/6629971310.html,AUTO CAD DRAFTER / DETAILER,,2018-06-29 08:06
https://newyork.craigslist.org/que/egr/d/drafter-construction-mep/6629891243.html,Drafter : Construction MEP / Mechanical Engineer,College Point,2018-06-29 00:44
https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6629730512.html,"IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES",,2018-06-28 19:41
https://newyork.craigslist.org/mnh/egr/d/jr-designer-associate-for/6629565899.html,Jr. Designer/Associate for Architectural Work and Interior Design work,SoHo,2018-06-28 16:35
https://newyork.craigslist.org/mnh/egr/d/model-maker/6629541622.html,Model Maker,new haven,2018-06-28 16:12
https://newyork.craigslist.org/mnh/egr/d/maintenance-engineer/6629530217.html,Maintenance Engineer,,2018-06-28 16:01
https://newyork.craigslist.org/wch/egr/d/experienced-senior/6629344747.html,Experienced Senior Construction Manager,White Plains,2018-06-28 13:16
https://newyork.craigslist.org/que/egr/d/currently-hiring-full-time/6629187212.html,CURRENTLY HIRING FULL-TIME CAD DRAFTSMAN,Queens,2018-06-28 10:58
https://newyork.craigslist.org/mnh/egr/d/construction-site-manager-40/6628649688.html,Construction Site Manager w/ 40 hour Site Safety Supervisor Course.,,2018-06-27 16:45
https://newyork.craigslist.org/que/egr/d/exciting-jr-estimator-drafter/6628524787.html,Exciting Jr Estimator/Drafter role in trendy LIC! Locals ONLY,"Long Island City, NY",2018-06-27 14:49
https://newyork.craigslist.org/brk/egr/d/project-architect/6628484761.html,Project Architect,Williamsburg,2018-06-27 14:14
https://newyork.craigslist.org/brx/egr/d/project-coordinator-solar/6628340443.html,Project Coordinator - Solar Commercial Projects,South Bronx,2018-06-27 12:12
https://newyork.craigslist.org/mnh/egr/d/seeking-real-hellofresh/6628295639.html,Seeking REAL HelloFresh customers!,,2018-06-27 11:34
